hhid,xcor,ycor,size,color,heading,shape,hhmembers,children,elders,adults,TLU,oxen,cows,calves,farmland_ha,fields,maize_selfconsume_kg,agriculture_h,region,woreda
040101088802202007,11,12,1,9.9,71,house,6,2,1,3,2.2199999999999998,1,0,0,1.961725,3,20.8769998550415,12,4,1
040101088802202029,-1,1,1,9.9,335,house,6,2,1,3,13.52,0,1,0,1.3503180000000001,3,20.8769998550415,88,4,1
040101088802202040,4,-16,1,9.9,176,house,7,3,0,4,9.83,0,0,0,9.528354,6,35.71000120043754,64,4,1
040101088802202062,4,14,1,9.9,353,house,7,3,0,4,0,0,0,0,10.118541,3,1.139999985694886,10,4,1
040101088802202073,-9,16,1,9.9,30,house,5,2,0,3,27.44,0,0,0,3.511715,7,10,6,4,1
040101088802202106,2,16,1,9.9,169,house,4,1,1,2,5.77,1,1,0,2.4785,7,13.011999964714065,42,4,1
040101088802202139,-5,4,1,9.9,231,house,4,1,1,2,13.979999999999999,0,0,0,0.68728,4,0,0,4,1
040101088802202172,2,-4,1,9.9,44,house,7,3,0,4,2.81,0,1,1,22.213765,6,0,84,4,1
040101088802202205,8,-7,1,9.9,296,house,5,2,0,3,2.01,0,2,0,8.629399000000001,5,56.12999945878987,96,4,1
040101088802202238,-7,-3,1,9.9,58,house,7,3,0,4,12.23,0,3,2,41.870013,6,18.930000126361872,73,4,1
040101088802202271,-4,-16,1,9.9,64,house,7,3,0,4,6,1,0,0,4.20397,10,18.819999516010295,39,4,1
040101088802202304,11,14,1,9.9,18,house,6,2,1,3,0.08,0,0,0,1.36961,4,5.41999995708466,75,4,1
040401088801103004,10,-10,1,9.9,44,house,10,5,0,5,6.41,2,2,1,19.940038,1,38,6,4,1
040401088801103022,-6,15,1,9.9,106,house,7,3,1,3,17.9,4,10,3,8.756122,7,35,10,4,1
040401088801103040,-3,1,1,9.9,217,house,7,3,1,3,6.69,2,1,2,53.130354000000004,4,30,12,4,1
040401088801103058,-6,-4,1,9.9,247,house,4,2,0,2,11,4,4,3,50.347621999999994,2,21,63,4,1
040401088801103071,4,13,1,9.9,349,house,2,1,0,1,0.85,0,0,0,1.061415,2,10,6,4,1
040401088801103076,9,-8,1,9.9,91,house,5,2,1,2,0,0,0,0,13.849927666666666,2,0,0,4,1
040401088801103085,-1,12,1,9.9,324,house,4,2,0,2,7.62,1,0,0,26.63844033333333,1,0,0,4,1
040401088801103128,16,-1,1,9.9,150,house,8,4,0,4,15.24,2,1,0,39.426953,1,23,7,4,1
040401088801103146,4,-4,1,9.9,140,house,5,2,1,2,5,1,2,2,10.337896,4,30,12,4,1
040401088801103164,-12,-6,1,9.9,176,house,11,5,1,5,10.27,2,4,1,13.739545000000001,2,38,10,4,1
040401088801103182,10,11,1,9.9,226,house,4,2,0,2,2.17,0,1,1,0.9528909999999999,1,2,0,4,1
040601088802303004,2,-1,1,9.9,33,house,3,1,1,1,0,0,0,0,7.088531787528991,6,0,0,4,1
040601088802303005,16,2,1,9.9,156,house,5,2,1,2,3.42,1,2,0,8.599238,5,15,0,4,1
040601088802303020,-5,-9,1,9.9,166,house,6,3,0,3,6,0,4,2,1.937656,8,20,0,4,1
040601088802303035,-3,15,1,9.9,107,house,6,3,0,3,1.5,0,0,0,2.344338,7,20,30,4,1
040601088802303050,-9,-3,1,9.9,357,house,3,1,1,1,0.8,0,0,0,0.12778,1,7,0,4,1
