"synthesized12","010502088801503167","010202088800802063","010502088800201004","010502088800712138","synthesized15","010502088800712073","010502088800712100","010502088801503021","synthesized29","010502088800201099","010502088800712002","010502088800712054","010202088800802033","010502088801503112","010502088800712064","010202088800802048","synthesized22","synthesized23","010502088801503130","010202088800802002","010502088801503015","010102088801403136","010102088801403001","synthesized38","010202088800802120","010502088800201078","synthesized1","synthesized14","010202088800802078","synthesized2","010502088801503076","010202088800802017","010102088801403036","synthesized9","010502088800201027","010502088800712035","010202088800802028","synthesized6","synthesized40","synthesized10","synthesized35","010202088800802108","synthesized5","010502088801503026","synthesized20","010102088801403106","010102088801403016","synthesized4","synthesized25","synthesized30","synthesized27","synthesized13","010502088800201205","010502088801503002","010502088800712082","synthesized41","synthesized28","synthesized36","010502088800201120","synthesized18","010202088800802124","010502088800201022","010102088801403061","010502088800201057","010502088800712091","synthesized11","010502088801503094","010102088801403091","synthesized21","synthesized8","010102088801403026","010102088801403121","010102088801403031","synthesized3","010502088800201163","010502088800712110","synthesized39","synthesized24","synthesized26","synthesized31","010502088800712020","synthesized16","synthesized19","synthesized37","010502088800201142","010502088801503040","010502088800201184","010502088801503058","synthesized33","synthesized32","010502088801503148","010102088801403046","synthesized7","010202088800802139","synthesized34","010502088800712040","synthesized17","010102088801403011","010502088800201041"
0,804111.304302461,14543.8362059936,23613.9447129746,22576.7356861297,98890.410472003,84111.8784505256,58019.5158649256,629707.349241747,122056.461138594,324018.564219456,29027.9309149429,558732.750158465,160250.773587102,246534.10882673,108061.977003338,20397.2372660094,74414.4753051003,104531.982041882,52449.2525754971,88906.2880940648,23885.9281049203,28295.7391442139,20269.4207037363,300099.471281912,93402.8455258315,27670.2804464222,58209.7724543945,160911.824284206,4384194.69188156,68933.7509674132,251039.917722634,16880.0900466308,260311.49268496,87348.2126050919,90931.733952918,92306.7151172471,65770.8911330832,110524.910759436,114117.464133168,55937.4507006185,56472.6871633272,41089.9177024224,361060.420896038,70935.3432281175,26353.0337372956,52485.7696569461,828440.798474714,82372.1629473972,88497.9489287568,32620.9132163736,220935.059889787,50282.3133464334,90125.0079490346,81421.8221864955,50740.2092727437,68137.9476095161,316148.312983982,57541.2106133476,375565.955934697,53187.4945831921,74621.1377488992,20850.5875576296,56071.433608112,116582.166357251,31251.3544896574,13217.1537881661,1269539.04928807,232330.588517924,76016.3666156414,89948.5763289411,36928.5830460788,99892.821004954,201883.350475766,22551.1143252406,70881.1335516333,143466.456503988,59246.2767891336,83413.0038688596,115453.608418439,8812.82267243394,61314.0918071482,57136.6346549846,53570.2987964083,67152.0584383399,1093531.5786517,556042.118743784,70465.5685510526,6128.04470127677,532744.53925181,63897.0020122947,98175.6565723127,328524.730034682,204590.72254052,88384.0066980836,137541.331746224,64235.3458017776,211190.131728868,31594.0106810267,8417.28421078171
804111.304302461,0,798366.437499104,827142.228756936,791550.880353939,885696.905153778,875136.222607946,800483.554881692,209105.991365715,711394.940088164,485627.142155504,785969.490470747,317030.4486735,668701.645341803,562793.28374871,896005.706410334,821144.063832283,807664.88912819,896870.697117965,779177.590936267,867233.546562471,827374.773230912,827778.175782808,793598.143812299,504111.376398525,887254.243078951,787123.368057354,857035.598182786,685709.063930874,3602072.73178233,743023.280301547,571804.133016929,812109.209310116,557870.191256418,732848.878213364,749703.686076907,877430.751119885,862544.922541236,902057.213566027,905170.437294421,817266.016985471,847646.320842789,763446.64724699,457628.405405975,846316.528899289,787397.198259495,802344.641424762,235564.77686283,873821.217879325,758080.760188859,782920.896757679,626590.843127334,817115.412487557,884433.307053492,867955.665497501,850640.568131316,828033.485798811,495397.604139285,752189.622698319,480975.459571431,824029.155955785,738400.342958298,786855.703928982,833282.35665562,907310.347338575,791684.47264912,791035.054426324,480787.868911125,598709.166023857,754440.426694868,875447.783329134,779323.588831595,888931.708010546,625214.347631369,791573.469313432,746191.592785118,665613.230631338,819232.866541193,741634.097206581,906329.095185353,806875.227704492,759330.131847927,856120.66736479,853056.11251292,864698.072213883,355363.73703573,248072.461627256,846577.916865422,799103.083206642,273169.30977074,821510.355080502,887444.490116088,510953.413821471,634411.636205081,882729.178522779,670401.268185469,756973.956159613,602987.923602455,783785.592006345,809117.679777175
14543.8362059936,798366.437499104,0,34343.644515787,8740.25788124334,111733.411031691,96717.6684910839,71046.8170011742,626237.991032927,109509.664740168,320431.106888855,15550.0045885868,557268.892244093,148913.352470109,243451.509028072,120576.694199888,33576.9469960511,87929.7661108734,116457.590428366,62159.2611482974,102745.051177632,34630.0678037771,41297.7142820411,6229.21905321323,294274.432906688,105287.342661901,14124.4195798839,69866.0572972714,165235.228825876,4381295.01245847,58508.3358657025,241484.409767906,31404.641351122,258662.568402707,75531.1746606508,98362.973455062,105483.045387577,77758.7094076451,122468.766417169,126071.336201744,70224.5800136118,69886.7028713224,35646.6395867464,358435.197398084,85265.7469962403,35270.3095137576,65725.2444886053,826734.258444339,94955.2157763881,97028.0478240352,19275.8051422141,223375.812791934,64637.6443517243,101996.330184917,94695.2222197607,62306.9729830224,82627.5065220412,312944.342642756,47658.5608431031,375638.611846917,67709.9431020509,64024.7572773246,11621.5440000198,70553.6252696519,128542.761612713,42353.5864051891,16736.659772052,1265386.96849911,232775.122334534,82868.4753884111,103136.709955305,23720.4838335551,112425.998839905,191357.751752967,8712.81524329611,59140.0756371368,141662.040711278,73574.8033281442,70734.1212431284,127411.041606585,10065.0291611323,48481.9860967764,68782.2677674038,65172.3401360938,78889.6232569813,1090820.31876417,550369.808614138,84773.6244122869,10061.207916432,526419.321648631,78255.4275742902,110712.751444643,328134.797315909,193112.363920773,100290.688039424,135422.011029758,51430.1620827518,209549.245543018,18211.2457061109,12689.4655558708
23613.9447129746,827142.228756936,34343.644515787,0,43037.3418834108,77788.4788924046,62645.0843777054,59802.7166839556,651625.638013163,143846.846770441,346145.929987571,49867.418550832,579270.195909644,183046.455707274,268460.140650464,86390.5244859176,8577.09173379875,72818.8636023607,82118.10433909,63536.4586917676,70579.596936524,782.538908198938,10476.1762086649,40534.1659455414,323250.471350621,70951.6490522284,48449.363152217,35528.4180910546,176574.202079934,4405591.52924773,92060.3902826737,274548.882989908,17965.0549863617,281274.549737557,109773.015561311,103629.574689654,71931.3903178563,43469.4694718236,88129.2258666106,91731.7700714396,50855.7987998395,37275.2295446949,64647.9467564073,382567.481572692,55870.8989239874,42662.1190828484,54023.3595752315,849083.378740984,60873.9006022779,99480.3957973196,53604.8007847936,238355.084064272,45135.6942299126,67658.6726607554,61372.2988575247,27966.694897568,59426.5540788161,338060.304004103,80806.9206027023,394945.650216719,44850.0740990439,97696.40490694,43736.8778879732,43694.0209027802,94202.4320106281,42766.1657228466,36270.6252639014,1291784.07788432,251672.131547724,90155.2095166209,69616.3162213302,58038.2150713658,78263.8753327646,225099.911717894,43009.7618259276,93336.1797221673,164909.32089676,53427.0955240443,105068.320959782,93071.4774979445,24439.8619093785,82817.4166271949,34440.9148051559,30841.0785691959,44551.1886342818,1114879.8429013,579071.761923199,55217.0388087541,29349.5676477253,556000.973639781,57366.826000247,76557.5575900516,348377.761212027,227310.063417857,65954.6192813587,159210.935992426,85764.2708994007,232261.767854877,52541.9086075314,21695.1856189513
22576.7356861297,791550.880353939,8740.25788124334,43037.3418834108,0,120436.12240793,105422.718791796,76674.3125316722,620437.487835236,100813.867229442,314678.967711971,6831.29650814397,552455.080265388,140394.661047677,238011.592006716,129288.318176583,42176.833178232,93898.5815989467,125145.979319897,65404.7928029516,111273.25056028,43309.9057186636,49936.0593141854,2729.35545157,287534.181104744,113970.085972206,5429.24194190121,78552.0070950865,164066.611382931,4375666.3997067,50422.0181555743,233393.405787273,39384.8999836134,253920.519449817,66963.2664052458,99582.7592763249,114156.792192901,86450.7519546723,131157.327094286,134759.982803132,77228.8484634739,78509.1592505287,30731.0111980398,353122.4357672,93496.400376683,38990.8599734658,71570.2582493352,821753.000315857,103660.556826547,98999.8069814745,10578.9580555174,220928.896534717,71786.2339157081,110681.527065348,103348.419554363,71003.8707226655,90030.4143044469,307378.678890925,39897.6779776085,371696.350454417,75267.0014174292,55845.4767002877,8384.84904234038,78582.3512705836,137235.497481015,47036.3900146036,20367.962213595,1259225.31979127,229181.76478392,83889.0326800462,111808.610254432,15001.2684631653,121137.62829293,183012.607839816,71.4756028494905,50631.4443504887,137096.337205205,80636.4495680215,62032.5569983849,136099.738112601,18649.3562987509,39787.1562994048,77475.4601954831,73853.657686488,87576.3021107921,1085328.5379754,543614.110653832,93032.3648225406,17117.2951593859,519400.922306267,85356.6434411816,119419.703525274,323981.394912585,184548.197496146,108981.026275633,130721.615757738,42730.0297626846,204884.765666735,9538.99504468703,21348.3222020649
98890.410472003,885696.905153778,111733.411031691,77788.4788924046,120436.12240793,0,15282.845489525,85375.0338608852,702401.300104844,220931.824699127,400528.719835235,127229.582678309,622553.413684953,258655.836111583,322963.164105318,10331.4360336707,78536.9226289584,81080.8981209718,14029.1217422112,106723.274491766,19995.7549014211,77517.035858246,70666.2569191483,117950.548242159,385142.40695395,14229.3169709103,125821.332074764,43172.883880243,209627.303874387,4450333.60295672,167216.73208863,346532.570731159,84028.8589955086,330518.956920295,186178.847442237,137845.734276103,8280.61672635776,35025.6664655189,17261.6403329859,19829.7860663583,68438.2363979113,42819.7538773919,136458.29988933,432903.64282125,39466.1032385851,103989.125766632,83358.8001985706,891640.666921327,17050.9097838097,130058.315201759,130950.658728257,273913.529980013,68790.7797096356,15820.1883067241,18456.5134763395,50428.7455628358,58568.4084646495,391280.75426836,155671.453142364,434489.612872214,61855.5881286203,172945.002637178,119720.016723097,52833.0628931549,21751.3245521246,97379.0454104573,108765.264956578,1343340.46612379,294436.368233656,131406.181122559,10281.2292414657,135358.020094354,4681.64569418578,299248.46626166,120408.689137905,169727.78555331,220388.728334935,66571.1881998555,182232.083434321,20863.0495768634,101936.590045495,160046.988127406,44198.3004918624,47683.683881322,34669.5353482384,1160837.77732665,638297.238696501,39154.8841866928,104919.278055131,617532.932243307,64692.0678438158,4647.33092004325,390919.029108545,303023.142846627,16468.562987277,215981.74349945,162983.313924455,283362.773421153,129893.75932164,99238.0444440161
84111.8784505256,875136.222607946,96717.6684910839,62645.0843777054,105422.718791796,15282.845489525,0,76268.5719795242,693361.359370558,206059.477949237,390458.990616981,112231.581347264,614957.472351672,244165.016970091,312701.460301163,23967.7847144398,63724.9094790464,74850.7962486898,21900.5635857735,96034.2790065019,20165.6629733729,62364.7957583806,55835.7646178983,102938.676963904,373576.408029773,12493.3629330746,110822.449007135,27909.2669521226,202698.380026963,4442920.66145157,152718.26028061,332889.808428446,69708.8657621034,321275.568850285,171452.37116475,129581.942025024,11697.7017752019,19757.5298876962,27518.1926364371,30955.8818269225,58963.1184306761,28846.7456944906,122386.080275485,423679.988289322,31723.859905707,90791.1017288724,73437.7128028202,884364.066624662,1775.13096488994,122216.325976807,115962.652192063,267008.348662148,58263.5548581932,10389.2231756478,9297.46177992083,35183.2288467735,51517.5670603094,381419.314786773,141199.604214639,427368.690554025,51445.7428781887,158439.880317057,104956.465230808,42060.5289295961,33344.3160398057,84754.2777655763,94377.0164647224,1334342.28425089,286283.178140395,121805.575299249,10185.0682309081,120374.869677845,15805.7798550196,285108.237315257,105395.199265528,154991.160661609,209532.062118983,57700.5046082476,167320.407491123,32243.4457624794,86868.483860525,145109.387663523,28946.1770002715,32408.0323337133,19542.6684378207,1152958.93890925,627497.089240002,31159.6715439302,90138.5715433576,606244.65615854,56762.7389462601,14069.6077796095,383122.41108321,288528.78564002,9136.37355907047,204874.267227625,148048.251937156,273608.37484153,114905.838877731,84166.3114765336
58019.5158649256,800483.554881692,71046.8170011742,59802.7166839556,76674.3125316722,85375.0338608852,76268.5719795242,0,617294.000257931,160526.637578435,315193.615071937,81145.9246403786,538842.165535336,190927.114567581,237699.866159861,95636.4139448301,51691.5195996474,17817.0705589825,97296.0527561611,24022.3979706173,66810.2129335176,59801.4049531142,51254.8989714877,75103.4381450431,301154.973370577,88745.9752085317,80183.7706436079,66863.6826389147,127444.965758496,4366810.13717838,104671.706087152,270014.953566241,44906.6677129656,245280.075970904,125413.551551416,53519.2971094907,77096.3821856498,68943.8011766205,102114.060318172,105060.506600574,17422.4185882063,52752.5730646041,72476.46037992,347683.695776147,45956.9612287361,39237.2589634159,6203.11891814702,808352.434245412,75222.3213324759,46578.0663731329,83721.4386075368,191528.143105367,19411.5470696751,86328.3376312735,68209.0532461618,63766.2384712505,28026.1834812324,305925.855573939,94065.0055115557,351540.599042284,25397.0721416154,109933.277877984,70283.6238721081,34677.6181854369,107094.328579575,30238.1595991347,56476.1217585624,1258266.88971304,210074.453039378,46096.0656119068,75200.5495914473,86904.8816971033,88844.4375829606,226977.467327811,76657.0153921127,110718.717923165,135754.155243805,18923.6643956901,125352.773589289,106166.561301512,66573.7604000423,106295.957826922,66361.0183475849,64882.0202401098,71409.3719773762,1076751.84052595,553251.423950101,46237.8256119019,61123.1667254864,532960.264590066,21332.6330629332,87459.6712153674,306976.088283737,234250.760417129,84762.7258610787,131724.532086023,108753.643506589,198005.725183857,82971.8283274498,65383.8095647422
629707.349241747,209105.991365715,626237.991032927,651625.638013163,620437.487835236,702401.300104844,693361.359370558,617294.000257931,0,553622.985532456,305808.631262257,615617.972460013,108436.902157015,513923.177182581,383192.210240142,712541.457759867,644760.839068296,622151.54995612,714561.368407977,597836.020037257,683107.623203827,651831.66345445,650666.122642226,622210.798557224,338979.281038569,705762.571664934,616612.653447494,678346.74980137,495650.177304887,3755397.67949992,575167.303759834,424403.012474356,635252.57530993,372101.228858446,568706.023822693,564601.924080312,694141.993471492,682951.817288596,719320.650375876,722181.88690509,634490.404476321,667319.344822342,590609.273418108,269736.4608723,663031.825635653,609941.807114649,619925.004637188,218486.829892678,692216.117426049,572556.315708059,612994.507202836,433376.48529114,635168.52624762,703187.852560809,685462.926120814,672594.796014333,643890.538563448,313577.23867788,582851.911844174,279089.933187981,641935.058292225,571277.10512708,614628.962640099,651339.345286147,724150.592187712,612894.88555887,616515.340215776,640981.708581125,408785.977041355,571560.562592643,692340.963273748,609907.156148194,706041.161450191,474268.880767376,620457.034153079,579901.80117576,486795.873838763,636035.309334167,578160.678331704,723247.60122024,633773.799926493,592922.67513945,677522.77350028,674765.129255867,685262.831940183,466317.918544789,120172.448149418,663399.178785284,625312.28068472,155452.194935638,637715.120072812,704676.678602676,314992.69838868,487824.428066684,701560.219247423,492416.226514677,590941.706814746,420255.495256193,613738.084198928,635737.321494287
122056.461138594,711394.940088164,109509.664740168,143846.846770441,100813.867229442,220931.824699127,206059.477949237,160526.637578435,553622.985532456,0,254573.422493494,93982.9568342504,498606.866964462,43486.5052748726,187137.802618288,229982.219026531,142397.128609722,177632.328362192,225959.811153727,139081.816036747,210284.23153318,144123.748029502,150275.111411476,103318.385639694,214645.922223701,214782.826525691,95397.7198839334,179365.859665756,177317.197357606,4306426.67678636,56066.1122241909,141411.591295881,137584.356374798,211371.189046272,35511.9237137159,149972.162812123,214338.712767047,187247.492132905,231971.16100006,235573.826186375,168466.878093275,178466.842995304,88696.4158306177,297394.569399331,190816.779109736,123767.112030553,157442.517165133,763409.954117853,204307.213087527,155170.232696219,90242.2154617433,211093.060360005,164176.289265635,211495.074901999,203427.389940976,171812.74417689,182542.40792705,250178.908283751,67256.9063732019,333020.963170898,169484.855794393,50640.0896646831,101266.891990199,175128.467874488,238048.512197215,132716.405345551,113170.15731443,1185563.21892134,204176.555804732,137782.001800686,211978.967628565,85817.9232660069,221818.7318611,88050.8878754712,100841.460199695,51575.3743380538,116701.968927677,171904.378879726,38784.1504278409,236913.571009577,119451.103400082,61029.498101873,178287.356374712,174666.991673525,188390.123566071,1019859.5427808,465568.912085089,190497.683816809,116040.616337268,438255.183950301,176486.936140211,220098.883698303,284663.983392335,85437.9701442228,209794.365145332,110620.395329679,58083.8517329438,168641.22413428,91306.0475508211,122162.144863976
