"120201088801701025","120201088801701013","synthesized35","synthesized19","synthesized51","synthesized27","120301088800704111","120201088801701054","120301088800704030","120101088800401027","synthesized24","synthesized8","synthesized15","synthesized48","synthesized9","synthesized36","120201088801701053","120301088800704038","120301088800704088","synthesized18","synthesized45","synthesized13","synthesized28","120401088801602149","synthesized22","synthesized1","synthesized54","synthesized25","120101088800401056","120401088801602016","synthesized41","synthesized34","synthesized10","120301088800704009","synthesized43","120301088800107120","synthesized21","synthesized29","synthesized53","120201088801701043","synthesized26","synthesized47","120101088800401068","synthesized6","synthesized20","120301088800704017","120101088800401080","120401088801602044","synthesized2","synthesized44","synthesized52","120301088800107021","120101088800401002","synthesized30","120101088800401091","synthesized31","120201088801701001","synthesized33","synthesized12","synthesized7","120301088800107096","120301088800107003","120401088801602037","synthesized40","synthesized16","120301088800107039","120101088800401096","synthesized5","synthesized14","120301088800107200","120301088800107143","120201088801701019","120301088800704054","synthesized49","synthesized4","120301088800704122","synthesized11","synthesized46","120201088801701050","120301088800704079","120201088801701031","120101088800401015","synthesized42","120101088800401037","120101088800401011","120301088800704062","synthesized17","synthesized37","120301088800107171","120301088800107077","synthesized39","synthesized32","120201088801701037","120301088800107058","synthesized38","120301088800107176","120401088801602002","synthesized3","synthesized50","synthesized23"
0,272309.244898888,166743.903148005,261535.2123213,227218.179783019,298543.654935022,1088772.97673183,1704940.84526291,64609.9024821009,208943.730398413,247408.795602863,218066.908663909,270972.382143333,277416.922055951,222664.849761665,265221.285677443,248677.462831013,273638.811899965,279421.871294221,259818.949290135,262054.351723387,299339.720245182,108751.793188752,263363.020691916,231574.728481496,196717.174411909,253066.038590905,262041.523300687,220612.695917007,235268.183548389,283088.545192009,208660.991712967,1077031.39171958,250952.090629126,272620.196650647,499044.503522066,131939.210014144,282972.293115835,203012.681797808,244792.903289888,301324.316042858,264087.497510207,151475.488228452,226108.197505347,202824.61706433,284680.364581797,208334.202906894,251845.281571577,207963.585421596,222737.797786814,258081.647291093,26305.8345317629,198039.536930513,281747.511042738,202989.081207804,135845.542002012,218144.758640263,293574.2224055,191643.44499227,215304.966128299,804874.770235041,21489.0966563229,261410.32856493,230793.765788719,217677.982899668,410804.11870973,235202.070051174,1358954.07735305,275297.550113808,55997.0416848836,237528.329946099,198054.185428832,229675.062625709,243500.837085988,243566.255232165,149445.81083239,284572.56774524,223069.326554932,276917.196927448,236025.130193163,195697.727057586,219974.532680611,282159.778206694,224723.146959733,280268.795935732,231974.079152373,288907.769488418,263585.727918661,216415.222103583,181490.462966775,273129.271081301,175537.342547757,276431.663193036,282577.686432744,201805.263579328,263384.9251367,176782.148744446,240319.295042898,168366.117758129,242198.568807895
272309.244898888,0,112829.99344771,15291.180223214,97193.6935357676,26258.8513236407,1351129.58030988,1977013.68210326,336845.098042787,77994.3031964386,24953.0470946025,77766.4472964731,25763.5694834524,8824.84512184114,76257.7879399711,32819.7906488836,57396.7830290879,22946.5809973625,18423.1349151494,27548.9898232709,37101.1217315518,27079.4019755727,171338.281771154,23080.8739961552,88191.1167560871,146211.489312845,50393.0783665259,37118.9574566558,289761.631641791,39288.1322879319,17181.574016896,120378.612094063,1349316.56849071,53720.8500660809,23980.2446845517,770793.703682357,148445.34020921,17197.5954415106,222947.608917647,50821.3125508257,29211.59725465,34320.1889742188,189607.728434663,70877.264300193,180534.719475613,17135.8505352847,252465.107925527,29271.5936134872,150815.014712645,107194.933556359,42804.0416867138,298319.371116827,74389.8113380209,17472.6552634567,222731.237131062,137128.572985832,84017.1376114756,21560.111284526,81336.1223385448,112227.362380592,1077066.94672548,293708.902493885,25775.9160180544,45245.6114267238,100628.053302103,682819.53678849,61888.0532727692,1631198.32348586,21393.8362266354,231147.036556557,76743.8798787531,128587.343543062,444264.968627122,66087.8513302148,65974.9824160241,421399.935270297,17130.1978733544,106420.539042111,390112.685272568,40861.4376452133,170560.032587919,113841.019897322,17352.8714043205,54942.6123136911,18005.7609652156,334078.659100096,18355.4637342284,34997.5259893873,123109.608542456,99241.0199223178,23465.835434023,96853.8437140628,9112.75533880007,17263.293593791,202565.534557772,12684.5585016207,107363.646058252,71672.1293392826,206277.901839187,68351.4665651331
166743.903148005,112829.99344771,0,99600.8641923147,68069.1288542047,138451.169631834,1238379.23200563,1870148.17646346,230019.632005444,42205.6966101777,89680.7900539762,51943.8648861131,106063.537812321,115955.017251765,56695.7843322869,99507.1039499909,81984.2613976572,109144.753402542,115888.688414041,95145.7830688189,95967.2450312008,139392.917058554,59871.0002826969,99219.1621307282,69361.5878523092,71499.4336718688,86344.6157904927,95955.8110856785,200344.527583309,73582.4474027292,120194.894956904,61900.184915486,1241634.33326972,84209.0139914458,107965.153120399,661346.91362604,36247.5994435142,120058.113341819,139200.648111502,78173.4704373795,141739.07200134,98233.1790270426,87463.265158627,59647.8442191402,104126.2600318,122069.072588827,165667.994551053,87891.8479052395,83763.4650002424,68066.9944187585,91623.8235542185,191720.57070955,48643.4741831565,118617.61414558,139011.217353176,35607.9682710445,53461.6579870779,132573.695181426,35492.4490664208,63304.642318016,969997.609833097,187500.771269474,96923.120412686,67930.8833058979,59505.1731267167,573934.499005034,68480.6314765902,1523721.54148622,111071.541794602,120083.605443863,72669.1292228954,57897.1443949585,333426.64920785,77274.1484270629,77330.0782036546,315783.607510345,121942.052706072,68012.3378595519,296841.163505188,72821.1526591581,91549.9996434817,68894.3389234869,119102.469342495,59823.5783297382,116881.657248259,239791.010493697,127059.532723914,97671.6170285469,71097.8188229468,14796.6433709232,108554.069961808,30263.6686394824,114776.401721196,119593.896256729,121756.77225591,101848.159963692,11844.9719030385,74688.5986927539,110347.557744573,76183.2119946703
261535.2123213,15291.180223214,99600.8641923147,0,82118.7944793225,38977.2777489326,1337929.44949313,1966473.72185068,325918.507259827,63228.1115101074,18456.1426965456,62536.5414899615,17218.2155776118,16354.2840080188,60975.4727749711,21035.4874304726,42907.9611807682,16752.2415571191,18763.427193627,13580.6961522709,24325.274251965,39953.3826344064,158784.255364175,10350.458934441,73173.7945038387,130923.947945581,36221.4194430204,24350.7936460882,274485.09090237,26410.6338224369,21650.8591415682,105106.932225808,1338496.25923988,39381.3229959265,16820.8633998425,759336.493095544,135578.545133906,21546.1829180508,207684.208139948,35783.7352122703,42401.7299150911,22135.268344752,174659.432454609,55588.1380705353,165289.88627347,23153.1372771173,237194.348686802,13991.7469246158,135596.645103426,92073.623073545,29227.7862428058,287376.1911105,64887.3354889604,20492.8637365022,207467.899848824,125815.043213092,68734.6466149759,32973.3450335328,69900.6384912876,96996.0049143934,1066405.18259876,282846.570558131,12278.1554868682,31680.7899872729,85376.0495604619,671531.879174124,46642.896718918,1620458.39190367,16928.8272642692,218857.994964534,61843.7493968548,113304.781605526,429816.941047337,51359.0794027405,51248.65689826,410883.470417574,23047.8306844393,91303.4438807375,374828.555409454,26831.9332354027,155280.355778709,98696.2685856641,20835.7329530886,40576.2572239906,19344.8125279392,318792.403039742,27604.9829946439,22652.0060927509,107940.074968775,85616.8187728255,16773.4619891426,86139.8404056997,15192.8973200764,21196.4448913394,187308.992682604,2609.82632597901,93434.7435011607,56841.8780479424,191078.047289898,53577.2966536317
227218.179783019,97193.6935357676,68069.1288542047,82118.7944793225,0,115582.936609065,1276990.17124231,1923002.29475077,287826.072152634,38745.6845815354,85888.9165755908,27950.2516330275,76412.9718037648,94808.9472687077,25654.9983857505,67673.9605505669,40890.2021809504,80384.3305171276,88843.6154777326,69985.7671607103,62754.5879635042,116663.42850164,118729.441543336,74782.1931000589,9171.83358360716,52023.0077902468,48278.5327575694,62742.9792698492,193582.644890976,68698.2016291444,94107.6968539645,26067.462764297,1293898.69844535,44752.0054420084,78872.7749080168,712064.01452854,96612.4299640103,93941.9105859515,126616.896251454,46384.9110184142,119341.587251775,65923.7387822712,104187.426120515,29670.3981188028,84047.2643842511,96369.1965622643,156211.356658891,68488.7072192164,54166.2649201972,10145.0150854844,56452.8962108072,250581.55729579,82532.6367497945,92189.1045784888,126399.880070009,103553.275239409,20703.7928974109,108792.598719308,72213.4752281295,16876.9162361951,1023393.38574952,246848.155447156,71914.4514449918,63132.8203485187,9542.80037901243,625910.924456155,35972.5776786675,1576013.3156132,82831.4907625141,175056.152403798,20873.4562155246,37094.8000317048,360912.097487628,31842.3372658904,31959.2170354054,373570.66833257,96216.3321136663,9369.60012268283,294062.416297914,63820.3951549283,75134.6518204256,16872.4620926256,92781.1390328177,53453.5030532818,90066.0110091786,238694.045229147,102325.702288126,65144.8481804007,26243.6518387859,56989.533433314,79627.1240720105,83539.9234936642,93440.1568269881,93378.5967690031,106166.928517031,84673.9303125934,56226.0996012543,26076.4490049212,114946.656614175,29501.5082104057
298543.654935022,26258.8513236407,138451.169631834,38977.2777489326,115582.936609065,0,1376827.22486451,2003190.95529388,363084.989538145,101831.773161995,51141.7798673442,99869.7820663008,39172.5757945868,22746.8848145902,97617.0775846165,47909.0019226181,74692.7761529447,35201.4203118275,26742.6612518918,46962.3731630683,52830.6919203634,1141.44911349983,197326.564253243,42115.1654058341,106419.10881552,166529.649893698,67304.4784885315,52860.8806876036,309165.443648445,64923.7633052409,21479.1245516072,140311.862232528,1375536.07487109,70833.3948299101,36712.852667452,797039.075504565,174287.924524719,21644.9866827134,242199.569837351,70481.7616688172,3759.10851875123,49661.5882034748,212662.709032066,92220.0880688872,199630.190383142,19213.8688197112,271794.102488299,51958.6315629678,169749.182276652,125727.932011803,59132.3761996445,324561.29797617,100570.175507232,23393.8934011192,241982.556445409,163360.90989738,105324.56456993,6801.01570757484,107533.112275292,131649.322679893,1103268.0913114,319946.441952962,44954.9552770854,70546.608236763,120446.78085888,709068.924920383,82387.5713579575,1657407.20192913,32754.3215003078,257237.433002243,94725.1429338679,149478.490763696,468496.222232873,83740.637939494,83623.7977536284,447594.874837331,19366.6380824314,124945.819751625,409645.284207255,65790.1051990838,190431.360583871,132455.305527062,22805.4718147214,79516.2252567757,25520.2937527037,354171.746222655,13308.2890578081,50440.4805565746,141824.492320304,124568.839683156,35955.842318652,123099.598759238,24040.0592714075,22208.1080990884,221749.837265215,36639.4808016969,132409.383889105,89509.8411736269,228010.424767258,86081.5017297699
1088772.97673183,1351129.58030988,1238379.23200563,1337929.44949313,1276990.17124231,1376827.22486451,0,775832.994429432,1026314.38450635,1276600.89925763,1327335.47106497,1281477.63167362,1342709.71071857,1354276.65156722,1285008.47519025,1335136.63930665,1312014.37824343,1346156.23449534,1353507.19052531,1332324.09962262,1330878.6146133,1377771.6729105,1180092.91540525,1336734.38695271,1284809.84187121,1227472.50763615,1318378.81998189,1330861.6258343,1116604.97826646,1311947.99673012,1358088.07764656,1251425.30504372,342853.22108262,1315338.44723857,1344844.11204281,612148.207764213,1202706.47939317,1357943.71638282,1170952.32161806,1311847.2866865,1380115.08600065,1333620.67342336,1172892.28481883,1289904.65314387,1206159.93985427,1360058.13905592,1146769.75253685,1325728.98544106,1231151.48369036,1268354.90746772,1325431.81582857,1062772.44096322,1280044.74575038,1356418.49669215,1171130.56175466,1216300.13427816,1278144.93312977,1370893.03428045,1270583.3942989,1260516.82992147,423173.165397329,1067797.70258298,1334222.09432578,1306289.65986703,1268720.84470366,697081.756519635,1300183.76130816,479212.223522947,1348281.44215045,1121143.01801032,1294815.42594218,1239993.96823396,919780.223884154,1304235.07038764,1304335.43966183,952159.17912429,1359924.99759451,1269020.34075046,1037829.51267945,1311105.97899209,1209396.7386795,1262641.04953518,1356933.22686504,1297668.2899657,1354570.5028754,1073429.45183907,1365245.21018762,1332946.57714299,1254700.57412166,1252334.17452523,1345499.56511543,1256581.20224958,1353074.85162619,1357453.31471935,1187805.27229644,1340208.54105992,1244771.11795865,1299284.01259281,1166107.16476482,1302225.08364193
1704940.84526291,1977013.68210326,1870148.17646346,1966473.72185068,1923002.29475077,2003190.95529388,775832.994429432,0,1640650.16994983,1911901.55841882,1952069.11929769,1919730.32172252,1975622.26398608,1982315.65381622,1924030.40839353,1969525.98266794,1950964.96873923,1978399.52140216,1984328.83659176,1964505.20141176,1966101.8942341,2003956.44058348,1810438.97832287,1968167.16285332,1929229.38178284,1879712.94406781,1956065.993956,1966088.05192035,1797355.86089928,1940203.84948349,1988027.7911482,1899794.58165728,629225.140622713,1953628.34261351,1977341.98868768,1211355.24378266,1834172.10712261,1987911.17439341,1839487.42620749,1948173.00120423,2005856.60516488,1968306.56493501,1824218.84653724,1928094.73420166,1867024.37323019,1989619.57968856,1820684.53443123,1956651.19995599,1886687.35039716,1916136.58408403,1961725.99303808,1679175.11363103,1902628.24576658,1986679.36427603,1839626.3493006,1840743.38957559,1918443.20373645,1998383.64439948,1896583.85202624,1908149.5388989,900157.616704819,1683657.31925551,1966144.54161987,1935661.05952174,1913747.43578098,1297101.59166423,1937784.83818435,347451.588743319,1980112.91167609,1750578.69194076,1937210.37991312,1888151.94808129,1596195.02282653,1944738.16742953,1944818.44853131,1555632.3760785,1989511.98953939,1916665.17640246,1737067.59019524,1940876.45702868,1866859.6040487,1911599.86727507,1987094.98904019,1929228.42679039,1985187.16257855,1760148.26603872,1993812.92555685,1967764.47405646,1905303.45371562,1884930.61249786,1977870.306735,1880418.04026923,1981344.8258515,1987515.05285742,1852644.7287598,1968311.05397858,1879163.43992978,1940779.83571082,1824725.48841454,1943130.78573304
64609.9024821009,336845.098042787,230019.632005444,325918.507259827,287826.072152634,363084.989538145,1026314.38450635,1640650.16994983,0,272096.159945731,311960.34836374,280707.975338985,335016.649654393,341862.496048082,285206.479126006,329064.616331883,311640.66025558,337761.751589293,343688.926739043,323885.157120831,325768.653480295,363888.05541092,170887.513675739,327520.527240495,292835.845841265,252695.911199177,316316.438018511,325756.904888706,246268.153619421,299601.130883695,347430.236309426,267538.76416001,1012579.14267522,314070.919623082,336714.05746551,434467.227106431,194499.80292589,347311.797341492,244637.030777981,308191.315402121,365885.600617309,327887.01737487,202292.18459218,288898.445829306,252984.081206065,349049.90741118,243094.95505229,316004.395606264,262833.689464576,282523.738223749,321607.726689463,38542.816376697,262617.15728321,346062.3786208,244661.522120944,200123.051375099,280266.556445141,358069.63729794,256018.971896449,274829.918291786,740528.331700609,43150.5098014299,325512.443491875,295013.762591315,278304.479220341,346202.294438318,298252.350057119,1294543.98733733,339465.379532703,112818.846749514,299515.69539975,256433.704926179,197363.881828227,306060.285984127,306131.300548938,85912.5158758759,348940.232703997,282923.616082768,280489.579859421,300226.653405519,247795.770713888,279155.444408774,346483.695622309,288661.239006146,344554.17136911,245591.166773493,353346.294539943,327364.808833828,274670.686891118,244813.631030415,337236.859530494,240026.643267329,340863.650146593,346909.696198166,247770.515346344,327800.308159956,239592.341954051,302590.259604359,214169.292024565,304643.643350337
208943.730398413,77994.3031964386,42205.6966101777,63228.1115101074,38745.6845815354,101831.773161995,1276600.89925763,1911901.55841882,272096.159945731,0,58982.7009264555,12243.2839711957,66113.0707746835,79112.683379828,16773.2880552424,58749.846270738,39805.3222735505,69565.2787059206,77085.6014289899,55820.4367944799,54779.8725247771,102851.451798883,101476.402966848,60369.4720218603,35064.7234324455,72951.7656612286,44228.9255066698,54768.8262666468,215631.093081954,40545.9543881116,81857.9553438132,50213.3607496129,1283266.60032436,42011.168276842,68244.6808130253,702605.411895525,77746.4531598031,81706.736202252,149841.343902391,36308.5542760586,105388.166244198,57319.2545497416,111684.340815945,18087.6289497835,108769.461222029,83927.6933842221,178808.456980127,49881.7301646736,80869.145422376,44702.6699004017,49950.1257672558,233854.24130464,43820.6689707914,80112.9337032458,149629.843227153,75902.9217311913,18161.3104476982,95444.82250022,33818.9489488917,45124.1616215148,1011775.68332339,229663.86429526,57756.2849656194,34078.8731990375,34762.0092093797,615398.602354213,26282.6803079499,1565376.29213481,71719.3192836335,161408.633874612,33553.8732744043,54854.1801800309,366670.896143986,35748.2972232184,35789.0459132503,357907.144232663,83787.5790061031,44187.3338490917,315277.461303378,37497.7685124007,97392.7724992814,49411.2851017912,80649.5508051243,23423.4010381438,78188.1939494578,258662.783396623,89416.8673824046,56689.2508241708,56650.4863220863,27532.6194566968,68904.4378704589,47048.7967011141,77809.7354689559,81193.3430453797,129991.214592572,65746.6799701762,32776.8066052841,34173.8120194962,129376.981576901,35004.2333256839
