"synthesized11","040901088800304008","synthesized32","040701088801502301","synthesized23","041901088800103027","040901088800304054","040601088802303004","040601088802303081","synthesized6","synthesized22","041901088800103017","041901088800103137","synthesized16","041901088800103012","040101088802202106","040901088800304075","040601088802303005","040401088801103085","synthesized1","040101088802202073","synthesized31","040401088801103004","040901088800304125","040401088801103058","040101088802202238","041901088800103077","synthesized4","synthesized19","040401088801103164","040701088801502376","synthesized9","040101088802202029","040101088802202172","041901088800103047","040401088801103076","040701088801502043","040101088802202007","040401088801103022","040601088802303061","040901088800304144","040901088800304099","040101088802202062","synthesized30","040601088802303035","040101088802202205","040701088801502263","synthesized25","040901088800304188","synthesized18","040601088802303020","synthesized8","040901088800304166","040601088802303050","040401088801103128","040401088801103040","synthesized29","040701088801502007","040601088802303096","040401088801103182","040901088800304120","040101088802202139","040101088802202304","synthesized26","041901088800103107","synthesized5","synthesized20","040101088802202040","synthesized27","synthesized17","040401088801103146","040601088802303111","synthesized33","040601088802303126","040701088801502311","synthesized10","synthesized24","synthesized3","040701088801502190","synthesized15","041901088800103122","040701088801502470","041901088800103062","synthesized2","040901088800304032","041901088800103092","synthesized28","040101088802202271","040601088802303141","synthesized12","040901088800304210","synthesized7","041901088800103032","synthesized14","040401088801103071","040701088801502432","040601088802303066","041901088800103002","synthesized13","synthesized21"
0,396116.960503496,1046589.26145812,994.439569433675,135878.245676264,108574.106815398,146717.469166437,1563208.66302475,683387.864280051,68769.732354474,38500.3009764489,38171.3766955799,403438.888248883,2905112.41403575,6295977.50936268,295358.072886506,54981.1897181307,8711.93579840399,38000.3032798446,50278.9895046322,197958.631791182,53025.6999637407,12599514.7823041,1286109.35632386,147446.039462592,23819.0939133748,44616.1068616279,172922.776262424,2777663.92167526,29875.3998062203,8667.63132217161,60700.5338907801,267081.126777781,4699973.16360524,57907.8340329788,1078700.21859366,58587.3320683693,78903.466635413,1544533.53532574,27070.8295314938,58006.6768540329,260550.302609793,50705.5483564777,38520.7680738506,74649.4577206118,1476375.29989105,41671.6963089177,89888.0408900241,11596.5993713576,146133.157478123,141991.163377368,40862.5474175991,32092.1864257907,39051.2601609433,28492.6843337594,10337773.0220873,163346.734088358,190897.522983306,11863.8740348741,751310.157123654,273725.317693137,48755.4281290443,102560.430980197,673362.977195874,48543.0119674226,57072.5818311363,49060.3103949896,979576.731774335,66770.1329253642,195557.617325316,339974.101211794,196050.377506238,454322.912715798,51028.9855799014,41995.0803718878,13060.2812602773,231327.357323917,278753.951692681,77209.3266162407,53586.6870768657,424389.77530933,143099.253099575,351292.310089657,43893.8695590767,36215.9996971041,1368767.91395571,268779.000520197,350915.864817631,71281.0397075458,122904.999812299,2153953.29482145,434723.01618268,229661.977503689,48807.4717267216,67537.9982308454,3533.36835667491,175043.434129729,128906.364808676,162010.341052692,63085.1170715655
396116.960503496,0,653022.699786013,395515.993470647,324428.357323887,335662.297316396,250764.79979067,1170932.2766654,289978.413645327,337466.229744042,422206.605734343,361386.610519867,47599.3589456459,2510415.74978938,5901273.55419085,104144.159428234,433939.151406726,388237.316160921,366321.505571774,365735.474910357,202911.265124854,425984.011169844,12204518.4298993,897802.317666154,312489.50695413,412026.682317669,392380.244400373,255110.1065578,2382513.55748308,371446.651698636,401811.418690959,438082.469775966,300695.103264843,4305182.01427899,436052.840363405,687671.246778349,430379.336727959,324765.759104628,1149197.25145855,379047.572017402,354428.083548109,300569.37630022,430865.272572724,379099.168288236,325137.224557859,1087480.56403883,366740.765040563,318266.353793936,395148.665250847,252062.664910353,254770.627531587,423864.988892335,376008.183492342,365676.714160404,398550.614057688,9942729.16732801,233357.271207316,223757.875129065,384290.064800083,379845.342119013,123034.85848422,348131.579882189,311690.260236729,280418.321057541,422677.115029969,435444.565631661,429687.927074287,583749.931566359,345943.354729886,218807.974626917,58950.7720995986,306880.35823881,107719.079757895,424509.982154286,424668.324463408,396030.85419908,168410.036968425,183130.113565798,350752.910227842,369799.360935657,31731.3271846721,321779.341820252,141127.633327487,364814.074743166,362582.414249479,973442.207201621,300751.284033806,121885.813434846,326655.030729225,322030.132988081,1759771.41447561,86746.97527343,301893.382656454,361617.031409819,349076.163049313,398414.832960343,282167.247016188,274019.360957035,298538.603672945,439821.024170253
1046589.26145812,653022.699786013,0,1045927.34911865,953933.628863753,971736.779571816,899902.207103431,518130.433722489,363382.937197709,990257.0764201,1074515.39887353,1010401.54519227,643410.728505492,1858619.87170369,5249426.32881435,756906.203000327,1086666.44700455,1039060.32350897,1014380.36429885,1018583.4952982,849170.05621436,1078828.69580151,11553063.2862124,255291.913199619,940235.993173431,1063786.61529582,1045284.58155315,888854.213407005,1731594.38509663,1020299.57318979,1052812.51710121,1090910.17673189,875241.942299216,3653469.35470857,1088833.82550226,51789.479644716,1083294.41203199,977518.235416755,499977.148926194,1027369.86757257,1000193.39334355,878862.761829569,1083503.04248037,1031763.21566453,977475.06533267,439573.138785259,1019247.25532562,971256.956738104,1046552.96756614,904687.810908812,906852.967505031,1076245.3103137,1023841.48777516,1013627.56835551,1050924.50078658,9291359.62797808,885548.629213352,862147.884624875,1034726.49045645,326695.714682103,773353.722463228,999501.919825545,954617.345034362,373288.577752136,1075444.61299721,1088210.00118627,1082287.71887276,90472.6354885448,998896.534571943,857127.883505124,711424.806926982,916352.140328448,598447.163618827,1077322.4271951,1077082.64911698,1047537.56638028,821417.859182979,788881.216882568,992720.601684353,1022765.49426582,627718.526710715,949300.801227862,714349.914806007,1017373.38029833,1011833.59751957,325091.489055274,874306.300094622,707747.162850405,978602.680093798,956186.532732236,1107364.36099333,615416.269907873,896432.498280121,1014317.21303698,993559.355161378,1049110.17918375,906303.738210074,920051.904271208,923852.40459778,1092684.35322407
994.439569433675,395515.993470647,1045927.34911865,0,134953.923101164,107649.655252609,146045.202379697,1562527.01154862,682735.033605145,68584.6754386895,39425.8232106942,37338.3400390642,402758.973363077,2904457.63001761,6295320.50025704,294812.746250134,55903.790453086,8499.57598420307,37097.9793280458,50433.9392659658,197256.477051692,53938.3950735752,12598862.8653718,1285400.18351311,146523.255274304,24750.8403730632,45229.9522112028,172066.483080562,2777018.30302465,29001.6218328861,9611.37200391696,61623.2390262124,266157.548143633,4699318.49979107,58828.1708679386,1078014.1337387,59498.3730347929,78624.8156181318,1543894.91116498,26139.6625743403,57091.5333938089,259627.243637022,51633.2329914694,38853.8609840302,74274.0712050856,1475667.4612579,41721.3915684097,89666.9711102916,12247.5088300375,145633.275819303,141447.095765769,41781.4290862634,31162.1506222192,38144.3533323773,29234.9749779517,10337122.2974235,162793.888265558,190103.343048218,11234.4434341092,750555.179873686,273098.346027012,48283.3029358332,101689.267526544,672706.591167534,49447.9366289836,57990.4926007951,49988.106614947,978954.977546258,66734.6784678398,194768.928377146,339407.97538345,195126.208476272,453585.88705378,51943.2736302778,42920.4510366196,13755.8589503994,230810.230529753,277916.721475903,76284.6245941354,53855.1392718716,423813.467040093,142174.951955855,350481.604319451,43927.6753485096,35402.5627991043,1368129.78750342,267854.921187941,350132.401763046,70840.3124207474,121983.869080253,2153291.58402879,434001.390109009,228737.860340435,48844.1357568095,66618.4644682138,4437.98918509108,174135.418688678,128141.270597968,161091.995120123,64009.9769314894
135878.245676264,324428.357323887,953933.628863753,134953.923101164,0,27304.3236343546,104384.522775062,1465823.12486763,595116.202348927,139094.331032911,174378.376548463,102959.175501588,317074.970311497,2810405.85656879,6200079.60041245,241365.167894006,190857.679851678,133773.397836369,99168.2886535547,152250.619418016,129190.965015559,188382.601654576,12503994.4367202,1185010.35591627,14089.9090049634,159695.60067217,168699.035934446,69349.292384439,2684435.49513385,107542.277026283,144539.161701679,196577.144654759,131203.900099577,4604669.61061071,193781.284466997,981996.5681732,194039.838844315,134489.71006091,1453893.87097917,108817.448816565,78925.9011307956,124674.441722962,186583.384219284,153723.56265419,125172.169766585,1375014.70453124,143749.545932862,143523.531846251,144132.997302185,134983.016638422,125690.719936889,176734.089177569,103794.583668924,98101.2780998638,159352.060845912,10242513.891752,135944.456425015,101459.693306843,127751.456130243,645021.248833602,206924.197202232,118303.133708184,51624.7642969603,584622.762868502,183831.476014002,192941.15122211,184938.106984285,893725.677042798,148594.612009417,106219.817179387,278154.04727844,60172.3095534506,355507.713448895,186359.108956632,177873.183390663,145845.906136196,191724.133256855,165749.355838423,58669.3383849866,159596.301501835,355761.76430609,7221.12592214143,241087.605586406,143944.997831308,105356.372317853,1278674.0891474,132901.013546671,246247.159429479,119106.555261693,15686.9636048572,2058783.88826714,339318.33432846,93783.960202512,145827.952278152,69373.624424657,139391.55776631,48214.0610489633,77518.8294071729,31024.6449060934,198963.164012797
108574.106815398,335662.297316396,971736.779571816,107649.655252609,27304.3236343546,0,100337.850206729,1484907.09110936,611454.701401494,115953.645160091,147074.171369922,76148.6846191139,331777.290293174,2829167.53941689,6219230.40868804,247216.303011752,163553.409124199,106536.423730774,71998.5313533211,126750.480046393,135079.931310569,161112.692393673,12523129.1359649,1204776.81304776,39531.6101392976,132391.6703387,142042.204540872,82988.8259969866,2702879.30766521,80351.0121508229,117235.322368648,169272.863188346,158508.084885707,4623657.74916856,166477.068733434,1000698.19772113,166765.239521326,112868.981425639,1471548.72764353,81513.3815738786,51856.8572029767,151978.335913749,159279.361439945,127342.022015289,103319.44313958,1394911.6358731,117881.414425412,122958.398601561,116885.639313219,126038.837074018,117091.686430318,149429.882291853,76490.5360458487,70935.2930654598,132246.377968065,10261582.5121868,131013.058820552,112177.779913198,100522.00788479,665515.873009872,215186.280019443,93254.3286306272,35759.9046174779,601042.281567215,156563.447803162,165637.109076329,157634.083603175,909999.178348861,124798.832375971,117199.496972871,286502.831118918,87476.5833086707,373499.211649271,159090.206970489,150568.98478605,118601.860540692,192769.962428906,186016.471417322,31365.0905876038,134034.070314754,366552.396403961,34525.3321046069,261298.855074094,118233.307623773,78539.6283322633,1296137.52406731,160205.292785114,265015.650462946,96913.2426706635,16357.799098815,2077544.51732136,356387.118404922,121088.239842825,120443.480562035,42398.0958102841,112087.290503252,71063.6924498563,71946.2418387897,55487.8260261647,171658.941615174
146717.469166437,250764.79979067,899902.207103431,146045.202379697,104384.522775062,100337.850206729,0,1416502.97009139,536768.749811137,98604.1265064816,176781.12759244,110813.658481874,256731.703827883,2758463.21903536,6149313.43150525,153558.753610796,190579.878850789,139335.880041461,115557.956739029,125782.66231809,51879.8828549021,183805.477219984,12452885.1749116,1139663.59894124,100334.969955069,164901.910489702,151992.892558834,63924.4964633791,2631094.66505582,120829.812370724,153151.020281821,195465.875885278,188874.598385598,4553324.45220817,193072.464020458,932014.638849663,188923.56962475,86531.42560238,1398054.98476408,128315.35277733,104502.331788301,183374.242677149,186958.127263585,136669.17266703,82831.4622974583,1329907.30952216,123588.358544241,86192.5321530823,147292.947483712,35473.5124513774,27058.4959201645,178727.232899421,125245.573264817,114913.837729064,153801.080752376,10191153.3375708,31560.777547517,57175.6227774559,134859.98780015,606346.952345487,127786.328410635,100670.32939777,67327.7522880619,526713.834015842,179871.159516992,192356.005521328,185571.893683418,833396.072927813,109264.38918676,60103.4556445584,196422.70253503,134110.026688566,308810.767129015,182051.465556428,179669.585326412,148402.094139166,94037.7058769919,146731.999766948,104671.846695471,131711.215961787,279970.185025778,106604.567078403,212397.773684741,122105.265723593,112120.529739086,1222300.31196404,190315.417539551,208986.368495329,81922.4735563908,93257.6735732134,2007264.56727919,288695.920644406,158422.807627198,120215.660291038,100292.923030804,149301.151981769,94519.799097595,28398.4169213149,98222.8580931217,197516.795337619
1563208.66302475,1170932.2766654,518130.433722489,1562527.01154862,1465823.12486763,1484907.09110936,1416502.97009139,0,881021.633493133,1507879.60854455,1591828.17539851,1526637.79870108,1159772.37818826,1344852.8624418,4734325.85548131,1274910.38792157,1604204.73692933,1555815.41205004,1530323.43172891,1536232.46591835,1365393.53302075,1596453.14260811,11038230.8582459,284427.954126552,1451931.10742157,1580863.36060747,1562968.8066492,1402429.8134578,1220006.04010212,1536459.59065428,1569609.21900935,1608517.40633628,1377985.51486818,3138846.8238129,1606407.83759086,484601.937354205,1600977.60485697,1495123.7809382,104745.208374118,1543349.68287994,1515554.08614629,1382195.64797746,1600986.77789379,1549289.64561055,1494879.12140484,108941.882508543,1536697.26924123,1489049.02008051,1563509.36949265,1422273.43281835,1424231.83369471,1593592.66723289,1539687.76508939,1529541.87367105,1568286.71729925,8776711.37552943,1402988.98811727,1376867.49183728,1551356.04642378,823446.136664263,1290606.99135409,1516512.07312773,1469514.19307144,890746.259470612,1593014.76497755,1605773.6893812,1599749.71012894,594378.256971262,1516639.07512005,1371886.34600266,1229443.10118178,1424711.65699202,1111684.27489825,1594923.19387481,1594446.67252545,1564532.08830564,1339339.72168957,1300096.94780269,1507141.5615996,1540516.08463421,1145836.87156671,1460819.7238122,1224855.53963465,1534851.47525517,1528136.95753421,217864.066309649,1376894.05726226,1219931.5916849,1495849.58832418,1469078.12858286,593503.451787652,1129835.18802606,1402346.59112476,1531873.65757886,1508615.27026223,1565802.99724244,1417785.73696314,1435857.39496751,1435284.79412993,1610319.01530756
683387.864280051,289978.413645327,363382.937197709,682735.033605145,595116.202348927,611454.701401494,536768.749811137,881021.633493133,0,626924.551890973,711132.668096723,647414.195036114,280805.601265642,2221727.93614993,5612602.50192618,394060.651136317,723309.80190891,675804.950079691,651573.222603589,655263.646766949,486321.368378139,715500.267149462,11916128.3045488,608560.96640287,581718.171490413,700430.85072316,681983.431025896,528474.123501356,2094333.9401062,657351.111184757,689538.330229523,727575.588864369,529369.123047031,4016587.45156964,725487.855677485,397807.781314948,719994.270095522,614178.323577496,861438.202479971,664529.050348405,637822.041031189,532069.302398343,720133.963367648,668401.700298547,614093.855277244,797873.098343368,655871.264885689,608029.340858371,683228.491475767,541337.50424826,543470.177673286,712863.117979539,661091.213699818,650840.253390777,687542.076362704,9654390.44601147,522168.3560886,500640.357303988,671524.236330816,140202.991486657,409989.354259027,636168.826959909,592708.512018851,10687.3894977053,712096.949220837,724861.123346082,718914.949991025,298617.95073424,635629.929945059,495595.730427807,348651.322280977,562123.51283933,241619.642992411,713984.66240461,713700.595997585,684202.63340954,458361.725251018,432276.848046134,631159.591251302,659505.506114676,265816.035509175,590930.662999389,360018.385167268,654001.641258596,648806.487959411,685731.769323728,528678.379224125,350763.828336774,615225.372103178,596258.79476275,1470654.59123309,255972.837976197,545717.740814634,650962.904216307,631443.692529331,685877.079657873,548258.156177821,557437.3230003,565745.109038593,729360.720311967
68769.732354474,337466.229744042,990257.0764201,68584.6754386895,139094.331032911,115953.645160091,98604.1265064816,1507879.60854455,626924.551890973,0,85445.3885456609,54413.0424799416,349753.663195191,2847874.39928206,6238720.34385346,234434.125520443,96475.9099702485,60087.9713566733,63221.3022808697,28377.7045104886,149595.724344504,88576.9355036347,12541906.4702516,1232853.99089478,145522.23457486,77270.7500588971,55169.8453347034,146146.802917173,2719902.92625239,60694.4475662896,71061.171187014,100653.14788639,261733.677128265,4642622.73997744,98592.2712296611,1023935.05491034,93136.5692016578,12784.8604353945,1486578.94278416,68526.488692007,73091.3314933847,255428.491679625,93462.6834277937,41758.4048881104,16661.5785812813,1422936.14088554,30167.4550804881,21335.2720247422,62950.8324634329,85613.2015560861,84292.7689530439,86916.6968336266,69647.9411758459,63618.5942324885,61873.6616740596,10280107.597204,105155.632302495,153007.142979844,59202.4036700081,702536.329264061,217648.336444298,27834.1562426122,89227.5121211567,617142.872358193,85212.2285379829,97981.2753359521,92328.6527912851,920962.996804213,11076.1610329373,156778.550369521,279772.309678442,193952.324686123,404976.476087031,87069.0833408644,87641.9805351939,63239.3090907225,169655.759867373,243854.956798143,92226.1688426836,33407.4586065588,364304.34558208,145455.87864464,310993.474021654,28012.337298788,53245.2312603759,1310840.33157122,263374.337696331,307388.21688095,20869.2728930886,123442.370817493,2097219.80269066,384169.971300751,225777.179894718,24274.4057506043,79162.0092222172,69576.6973145069,161930.849323146,92941.8517778451,154814.791579226,102440.24788828
