"010503088802304057","synthesized11","010503088802304003","010403088800404065","010503088802304075","010503088802304130","synthesized27","010203088801001032","010103088801804051","synthesized21","synthesized3","010103088801804145","010503088802304112","010303088800605040","synthesized7","010503088802304021","synthesized8","synthesized20","010403088800404106","010203088801001145","010503088801501062","010403088800404040","010503088802304166","synthesized13","synthesized19","010503088801501372","synthesized17","synthesized18","010503088802304053","synthesized29","010303088800605014","010403088800404002","synthesized12","010203088801001095","010503088801501236","010303088800605119","010103088801804085","010503088802304039","010103088801804130","010103088801804100","synthesized5","010203088801001111","010303088800605066","010203088801001152","010503088802304094","synthesized32","010303088800605002","synthesized4","010303088800605131","010303088800605036","010103088801804019","010403088800404093","010403088800404027","synthesized15","010203088801001062","010303088800605052","010303088800605107","synthesized16","synthesized24","010503088801501114","010503088801501572","010303088800605078","synthesized31","010503088801501183","010303088800605027","010503088801501503","010403088800404014","synthesized10","010103088801804004","010403088800404074","synthesized22","010503088802304148","010203088801001017","010203088801001047","010203088801001097","010103088801804069","010403088800404118","010503088801501306","010103088801804049","synthesized14","synthesized6","010203088801001128","010203088801001080","synthesized25","synthesized23","010203088801001002","010403088800404053","synthesized30","synthesized1","010403088800404079","010503088802304015","010303088800605100","synthesized28","010503088801501011","010403088800404143","synthesized9","010103088801804034","010103088801804115","synthesized26","synthesized2"
0,554274.292636511,291147.750301294,527874.566225686,311480.411163496,190666.201624592,425759.311580468,575602.365783724,345859.889953159,489159.209788635,564631.6429842,660873.306052851,440888.513018254,247898.271769052,96829.0381618873,499152.989915164,368087.526756004,515030.292732264,378032.757973507,198668.764358462,186769.023443099,309366.701986866,433549.474984344,415791.894765191,553948.390345735,582643.69141665,578953.7381943,579279.371987737,379960.367743764,525649.825659758,137187.575902467,280330.683297134,368728.923065839,567203.695496663,517672.35343334,374424.246441985,570567.481126276,526488.749021505,554251.131069579,485643.069840234,379367.47785793,559773.143626367,491508.251033841,514293.468192368,100773.16127334,215350.276031504,496292.806823895,226425.634841129,581064.579276568,531245.409292742,525884.653653195,521540.973969367,152042.910925632,472342.851678069,486710.415177867,565046.089900773,450470.535280374,520232.773398245,500140.546220707,540050.747475064,503424.859196988,497414.12378897,569930.079668621,647758.080694549,528156.155659055,544555.605093159,478820.270756248,556486.309518005,440281.161736386,580436.725342623,580794.881581472,549107.663901621,512921.488355777,520273.93457465,583069.785008926,446631.199176587,544733.554084369,488556.211906281,542237.779469549,464759.626041045,99206.2879386757,474342.600509524,466521.570856578,462021.185985189,484373.782132622,520976.569406521,438693.942609704,478369.409043102,538777.666009096,540123.43024299,545691.59172255,534967.283398902,453939.489119075,386523.270042137,486618.974838235,150134.247356624,484928.073225517,1639748.93175863,190992.751934196,502746.246565053
554274.292636511,0,275212.690667515,37638.0901174525,263262.792459429,403062.978982555,161624.621815614,31121.9328224747,271469.855996211,106749.222480387,15283.80522202,1193793.35832194,212682.414000219,309788.631608893,480266.644103102,60240.753924506,914812.278363777,51061.1414345122,180900.942385997,414560.186381836,367881.908984856,253914.409261496,121570.041035549,138482.755103661,493.257646080207,41128.887332946,35896.1801449217,36358.6594510056,177806.105106315,34634.556333641,691192.052161795,289662.175239133,381203.423051551,19034.7784697645,47276.5316726565,236477.721759132,33947.7494477984,34461.781564806,1103439.46767252,89949.8947749233,405936.380878269,19493.4467262652,90454.4255134378,60301.7204826248,636810.509637247,338926.178142623,71187.0934076559,547101.691782382,38889.5482342546,35319.5395625241,43847.4888263297,34770.9156384541,693189.643962006,82301.7945876667,67779.0449424283,15950.2481132985,187766.0889429,34156.3049876666,57275.2922301086,17612.416849564,70236.7947407373,80317.9075386559,32622.0199376953,1195986.64418359,40220.1254465328,17187.4604595406,126369.41397696,15369.2876508136,125869.125571123,38000.3359871914,38507.6909750096,1099344.04084548,65078.6639529707,43226.3383260448,41723.0151125986,110223.613760111,17246.1835172408,95607.103939959,16760.8857654702,120016.662687672,509882.978216329,90501.678341208,111149.506315413,161043.697985674,72142.0762162451,33348.6767934079,218876.377763407,127249.845567813,23536.077854924,14402.5650974332,17606.891578778,21351.2031284681,179545.057752146,274842.303732443,95512.9334540577,409043.727817704,101553.199022757,2193498.08367663,374289.922750404,70931.6211165559
291147.750301294,275212.690667515,0,256221.630136594,24340.3720563757,128333.313424403,134613.380060752,301034.635071475,83436.2647905605,198544.437206058,287758.488480796,918592.115017235,160950.777121669,47980.6455953249,207754.048328025,216211.657445816,641921.344184504,230340.911267096,94488.2636836669,142123.14660594,119800.99614336,21669.1478573701,164149.660905342,142968.074286056,274817.934067368,309539.147469606,305084.166337325,305477.50607523,98009.0980263899,252118.768145341,424914.050310689,15387.0827212044,195053.36228522,290874.158180956,233427.504857554,94837.2601653965,297890.157705484,253160.832987052,830735.350488788,197352.597324498,221321.085033623,284766.533146315,202428.064092699,227656.560752097,364819.072469729,91404.7687885535,210346.579389538,282816.946007647,307633.327649042,247393.976676783,240966.171071525,240729.638839147,420888.811323848,193837.126624897,208340.893961964,288260.651497674,164516.223154173,242683.358064373,218316.788780937,263691.002925463,216364.352587587,209284.227378717,296992.594840375,922721.038327843,243686.170935596,268966.636144473,187678.619117669,280764.413986627,152806.698608718,306875.241409794,307307.710644406,827119.447066266,225583.039825665,236571.256213632,310053.651156324,179395.258430488,269184.769745354,199047.714357863,266125.706234548,174346.387168057,235298.800122778,188393.628459327,177096.949273213,172305.821281578,212428.253924966,242376.87591067,160652.872614175,187224.790448761,256466.808693222,260816.242534976,270359.351292649,254418.404362904,166549.790452457,132185.123161128,197302.134885575,141064.916629933,194998.491967354,1923105.00845346,101774.44995813,215646.929003085
527874.566225686,37638.0901174525,256221.630136594,0,247072.275146644,384542.022500762,156812.410993946,48023.2109000407,263454.460231582,114388.586871691,40132.928373285,1173057.16095086,217240.117858528,286896.778268416,457511.841662646,56927.3464263083,891098.63017365,59120.2433671389,162130.96367043,397673.055624445,341108.388630537,234588.93565647,94831.6139244065,114419.905100568,37657.8122781389,54791.2845913879,51121.9365017388,51436.2456843244,158301.931614371,7442.03061093638,665039.339279881,271194.867822682,380126.308002322,41610.3474303922,56040.4956104144,230146.991842189,42756.7574021319,6437.52474987689,1079397.89088553,92050.7085844061,405867.895663006,33074.503667267,95898.57702573,71166.0573440783,613104.287660536,312914.625996424,72845.5464118697,533998.286274317,53194.6248580687,52471.3824810357,58742.77897691,37992.4153265921,669497.60920666,64260.1064400872,51057.6357726992,40352.5174051576,192749.68339901,24560.5379143024,51781.4457401921,20423.2092443662,76791.1935661489,86252.3760260908,42061.8179250012,1172287.65188527,55999.6132929747,21006.29834632,133070.038308992,31046.1833197112,115928.794267278,52569.6550761467,52925.304441804,1074993.98267264,76280.1041576325,52558.2636946094,55234.4167191118,81252.6358922854,21038.6520618775,100849.560657829,20904.4930449727,120351.308485707,488502.584843871,85128.0594411061,109834.341469717,166619.526728989,44171.691358337,28503.7343750648,223341.92877257,133918.817824224,45063.3380890707,31570.0300146532,21277.2448428495,35953.373927629,184703.936090612,273519.703435476,99782.7714390135,385207.39324222,106449.565504897,2167623.37518372,352422.040033707,77269.435549116
311480.411163496,263262.792459429,24340.3720563757,247072.275146644,0,140582.030043601,115373.532220394,290335.154570202,61208.8018658018,180603.870856693,276446.255578068,931795.127735798,136887.357454422,72016.2713448735,225309.131821197,203419.799330064,658000.362371646,216500.943097396,85464.9493359784,151303.279094644,143720.805182408,26004.4136398212,158212.824811251,136678.314174394,262846.882329973,299200.194204171,294559.282287881,294969.350278382,89816.2976902831,242427.956718744,443939.286982227,31223.6172171571,179929.234640776,279712.429391629,219773.085083173,70522.7349774891,287819.46904922,243521.103752585,846766.014390848,181720.96528303,206817.178743465,274117.084809534,186113.01294637,212787.273844409,381908.914718713,115635.122906699,196077.785152578,287601.348678821,297216.059504063,233766.928784004,226889.391961808,228526.852331947,437658.210819316,183439.511593159,197681.906281482,276971.256128508,141366.937032044,231732.461197443,206008.695593474,252859.934988249,201357.754568801,193638.531749251,286852.757810341,938360.341356534,229802.706522395,258329.51336441,168383.702266858,269928.386499502,138483.882810875,296426.1757463,296876.80235766,843409.731522546,210307.539912711,223139.951886741,299736.785486822,173612.744075877,258558.32294838,182384.617414974,255349.118689004,156882.875347311,250809.775182747,174440.932578847,160737.187086872,150664.398525283,204065.383848446,231032.983348044,136457.9062106,167870.269557139,243432.716580863,248947.43792781,259791.18955939,242142.6883726,143816.189151158,109234.162695865,180831.647681535,161445.911066369,177947.528644372,1939821.3875198,120745.059441291,200624.503262376
190666.201624592,403062.978982555,128333.313424403,384542.022500762,140582.030043601,0,254038.624109937,429277.513247024,159392.806296748,319895.233306632,415848.382880115,791245.127638846,255334.26537269,106805.615365554,94831.5898078261,343579.499750971,518965.008373377,356996.832306023,222737.538784377,23238.5564342228,110389.329315683,149953.239285346,291891.660346382,270945.936591876,402658.907525553,437838.274368534,433357.582459408,433753.487360352,226334.897104733,380449.954219718,313055.768163447,113515.928737756,186753.005828113,419007.232237092,360230.454865234,191565.267406984,426209.424480784,381492.855162335,707519.574534086,322225.557024038,203101.356628477,413012.294584626,326418.00905835,353360.575722617,245611.556297947,111799.744357019,336629.388941284,164091.367261954,435922.26598434,374228.658479284,367430.205070122,368435.904787877,300278.350672487,322066.866134426,336534.10593827,416357.832039824,268164.497478358,370840.298776688,345947.044022218,391890.058607511,341931.13628747,334130.544609798,425307.774731524,798670.073681264,370315.046639938,397207.055556446,306205.111941667,408971.472916201,278994.630357187,435159.833611111,435594.807438148,704480.156713081,350846.664145185,363543.717465712,438354.970469402,306987.037431657,397427.205992011,322544.92508027,394336.602773274,296696.782980401,112698.104443415,314926.724613158,301085.74646179,283716.883389206,340690.734179608,370423.669732884,252425.73701727,305605.345676264,383724.529302486,388688.761439914,398611.936593007,382102.653716768,272811.439575643,196694.401061936,321081.178380207,67749.2679193463,317915.957321863,1801121.05033955,50188.8036261941,341196.251411077
425759.311580468,161624.621815614,134613.380060752,156812.410993946,115373.532220394,254038.624109937,0,191734.27565244,110134.405931595,65908.9088084619,176364.221357966,1043563.78788002,72540.717634599,179672.029409982,340676.588769867,102672.85143315,772730.193111044,110991.500893399,65803.6796027875,261783.898149098,249419.778630444,117298.905948281,99457.1701814624,85670.9876376621,161157.199493141,201478.289339423,196383.108239376,196833.610691846,68185.9330576561,150391.763987953,559115.013047786,145996.960595626,223442.975612907,179988.36044353,114686.272541323,74855.8049028133,191525.869968955,151589.441740318,961406.766947474,72518.184545358,249434.763844764,176440.938374886,74657.3424902707,104212.900566943,497172.934871909,219373.412526428,90479.1639102702,387819.191756361,199299.830840394,128047.913489893,120080.516986531,127954.414266701,552807.68715389,95794.0520715316,106494.431838631,176954.468442234,55022.5116844165,135631.173056875,106897.490964637,155713.517051056,92953.4927230178,83717.0995720693,190359.699762719,1052695.33084664,123463.468365457,161556.050086842,53114.9650682305,171793.396096206,43201.7477358762,198433.151967607,198927.636176577,958211.78187815,100667.242726348,118613.572600771,202062.82233253,110618.189116753,161810.334770451,70149.4303736644,158233.977467817,43723.5773368158,365602.393876536,72336.4718233837,50752.6009723214,44848.0377483662,122150.047886347,133480.374530827,77528.2554594294,52633.0166864804,139148.431757408,148301.768054517,163175.553447215,140463.120777277,50673.8121037164,117055.89882274,69162.5156282718,275659.881565148,64934.7867287015,2054767.51017122,235757.739812602,92206.0378328039
575602.365783724,31121.9328224747,301034.635071475,48023.2109000407,290335.154570202,429277.513247024,191734.27565244,0,301196.393790648,137869.474428312,15857.7270489751,1219063.3722192,243802.963603678,333489.407596763,504180.761206655,89357.3492005374,938195.760705215,81897.6591646593,206555.462793582,441539.113097225,388852.319159689,279526.654377732,142157.895477345,160983.997603588,31608.3168425402,10062.5456555885,4790.48930454398,5251.70555904839,203085.488692277,50012.5354242168,712740.144787693,315763.214549126,412143.796033383,12104.7688051709,78099.6894011552,266508.768512029,9038.24526887784,49131.9973549216,1126613.17941876,120665.04391353,436958.798101799,16332.4207590514,121476.577015975,91407.5379977698,660153.142119505,360486.69910965,101604.222653194,575631.840114205,7778.41724835883,66440.7781584704,74969.2825645941,63827.8340881007,716554.666287128,107214.878273585,92783.2090251831,15345.5329100109,218886.163058295,58612.9399975978,85683.3748298833,37500.396217058,101204.680434161,111316.965904277,8456.93205858434,1219404.24843529,71341.6741536245,32087.8227242957,157490.890625873,20433.0953823035,154496.08921682,6890.29821197928,7397.09241689349,1122298.02008108,96197.4186230967,74004.2336877568,10609.5913464951,129027.820437338,31868.3032954318,126637.093835224,34988.8215468674,150727.305263119,534645.568784062,119892.708688014,141575.365764591,192164.938600116,91280.064132813,59555.2443308762,249997.326620218,158370.033315305,54657.0494238698,43462.2968288696,30680.3687690474,51447.1698983973,210665.721820138,305698.134614341,126476.38764824,432213.616304147,132585.265782929,2215328.13878769,398680.184131294,101888.486146192
345859.889953159,271469.855996211,83436.2647905605,263454.460231582,61208.8018658018,159392.806296748,110134.405931595,301196.393790648,0,173259.749777043,286028.042503295,939331.860999048,95948.7792843507,126866.513487072,252934.821480812,211846.858991291,675296.690804228,221070.063006434,116472.222060935,161454.277210062,195609.001657275,85792.6796073687,186772.528212388,166261.791876301,271007.836656445,310809.676173018,305783.226795806,306227.698068133,121649.480404711,257585.131480547,472276.218636208,82400.1759366459,127958.944403053,289604.999988662,224743.185341041,36088.2198862129,300462.209671385,258763.217061113,863156.844253845,182644.180002704,155325.409962663,285609.251417435,184395.071285257,214284.058375298,404681.017021683,170229.618567242,200470.220351494,278592.663421668,308660.870883854,238171.742450158,230213.355966828,237384.223239436,458753.959933044,199719.634643545,212406.501041719,286608.64515054,109921.479645115,243962.487207291,215689.45584473,264578.299818305,203069.071649966,193716.792473092,299339.526426846,953257.624531967,233596.330215947,270377.381421967,156434.421839364,281035.203394157,147632.105118588,307805.811105055,308293.672271311,860632.032626197,210611.754717826,228631.847886657,311386.828011736,201473.802979558,270627.230584541,179680.292616917,267113.926876385,153385.836356878,271688.926679064,181312.136636422,160885.086871192,128641.91758426,224285.628485442,242211.159302438,93189.0832989884,155691.098824976,249213.747958348,257907.933914907,271969.397262949,250204.747471489,115387.287876615,49012.7860172929,178921.002018914,199995.414417229,174166.943768033,1956930.93968186,158012.969996328,202323.830761381
489159.209788635,106749.222480387,198544.437206058,114388.586871691,180603.870856693,319895.233306632,65908.9088084619,137869.474428312,173259.749777043,0,122028.942639919,1109373.10407703,105933.515817518,241640.549839706,405733.500719281,58362.6086002594,838432.078158462,57113.5839676665,115533.270446567,327649.139930226,309224.700849233,179793.606982106,104269.723866137,103835.507770209,106262.977268035,147873.398307681,142645.372462591,143107.870629546,115346.169606219,107023.67785546,623452.816577477,210751.321644209,275381.119443977,125772.046670326,60800.3752513684,137202.881726507,139800.814642004,108161.013409192,1027145.86822578,24863.5913926994,299675.325332893,124455.085817737,18735.7053304316,46526.8597403743,562491.361534872,279039.74446627,41933.5545768906,451841.292328446,145638.744895922,71441.0204426943,62904.3336605092,78097.6419098593,618257.966459885,72783.631654887,74457.5759234116,122641.15150496,81016.8759193302,90020.406602061,63775.9506451033,106164.759615073,37960.3807199789,28195.2818168003,138524.525318547,1118516.21473781,66539.7389717409,111787.886244376,19631.7185623656,119717.116200295,55041.2966955959,144749.537200829,145256.906803003,1023888.95900366,41673.2081326314,64895.4767966395,148472.232664597,106932.526271974,112043.100526931,14234.9090170069,108453.42655182,24516.2911848298,431248.896250193,41212.29173615,26388.9170924036,54297.748682206,95889.7561457243,86487.9776246574,112128.319109262,20500.6485779866,83213.1866098121,95693.138979625,113412.524766095,87511.3529622853,72796.3986035004,169736.3874804,16171.7228986586,339373.233724657,10356.6545732739,2120378.87268278,300236.503752892,37393.1367502046
